PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,Time in Seconds,Time
0,0,0,23.2528515625,12925,17.680557909950352,1012.2861210896963,8.028043295511782,1676507087.6563427,2023-02-15 16:24:47.656350
0,0,0,23.2735546875,5127,17.647964127401607,1012.2840128198203,8.04560963007765,1676507088.8503327,2023-02-15 16:24:48.850339
0,0,0,23.3149609375,6488,17.61165800924425,1012.2916335075355,7.982113368798988,1676507090.0441117,2023-02-15 16:24:50.044117
0,0,0,23.3571484375,7550,17.560969305401997,1012.2853441174901,8.034517109232311,1676507091.237803,2023-02-15 16:24:51.237808
0,0,0,23.394453125,8443,17.524461203773264,1012.2741506296724,8.127782867497288,1676507092.4305882,2023-02-15 16:24:52.430597
0,0,0,23.426484375,9233,17.46845565342555,1012.2743145740615,8.126416853125294,1676507093.631148,2023-02-15 16:24:53.631156
0,0,0,23.4544140625,9992,17.412255118592242,1012.270904145557,8.154833198572103,1676507094.8245356,2023-02-15 16:24:54.824545
0,0,0,23.4782421875,10712,17.351059289521952,1012.2673051573142,8.18482074403957,1676507096.0190134,2023-02-15 16:24:56.019022
0,0,0,23.4989453125,11405,17.318528270616515,1012.2668670659249,8.188471021783473,1676507097.2138648,2023-02-15 16:24:57.213874
0,0,0,23.5175,12016,17.285891891684837,1012.2678618584057,8.180182184955582,1676507098.4080222,2023-02-15 16:24:58.408030
0,0,0,23.5321484375,12670,17.25305945695626,1012.2639250594293,8.212984526500653,1676507099.6022913,2023-02-15 16:24:59.602301
0,1,1,23.5454296875,13175,17.234555915083074,1012.2593617740589,8.251007030330518,1676507100.7970164,2023-02-15 16:25:00.797025
0,1,1,23.55578125,13802,17.206308710088233,1012.259985977758,8.24580599138387,1676507101.9967241,2023-02-15 16:25:01.996732
0,1,1,23.5641796875,14315,17.177966183819613,1012.2572985651605,8.26819827956736,1676507103.196299,2023-02-15 16:25:03.196307
0,1,1,23.56984375,14816,17.159077827502234,1012.255052923437,8.28690964375684,1676507104.3893356,2023-02-15 16:25:04.389343
0,1,1,23.5755078125,15342,17.13060416062169,1012.2511145130659,8.319725748072063,1676507105.582261,2023-02-15 16:25:05.582269
0,1,1,23.5786328125,15824,17.11159169210408,1012.247949296135,8.34609943041905,1676507106.7819521,2023-02-15 16:25:06.781960
0,1,1,23.5809765625,16162,17.097334232282464,1012.2502299855076,8.32709593092957,1676507107.9749346,2023-02-15 16:25:07.974944
0,1,1,23.582734375,16658,17.083048246524687,1012.2549025561474,8.288162550571359,1676507109.1759915,2023-02-15 16:25:09.176000
0,1,1,23.5833203125,17088,17.063912504046268,1012.2575884869335,8.265782566355794,1676507110.3766177,2023-02-15 16:25:10.376626
0,1,1,23.583125,17440,17.04953015519257,1012.2504869539596,8.324954782312746,1676507111.5693367,2023-02-15 16:25:11.569345
0,1,1,23.583125,17927,17.030369875285217,1012.247101742376,8.35316155284895,1676507112.7645743,2023-02-15 16:25:12.764581
0,1,1,23.581171875,18331,17.01111268358068,1012.2471758912138,8.352543717902233,1676507113.9640272,2023-02-15 16:25:13.964035
0,1,1,23.5786328125,18604,16.98704098127156,1012.2530270788275,8.303789620934284,1676507115.156953,2023-02-15 16:25:15.156961
0,1,1,23.576484375,19057,16.977355833797322,1012.2578478273966,8.263621666057773,1676507116.350051,2023-02-15 16:25:16.350059
0,1,1,23.57375,19388,16.972428685915993,1012.253212274274,8.302246512838723,1676507117.5513136,2023-02-15 16:25:17.551321
0,1,1,23.570625,19713,16.962695029391824,1012.2462219336506,8.36049244031198,1676507118.747024,2023-02-15 16:25:18.747033
0,1,1,23.56828125,20030,16.953002257118687,1012.2490188879631,8.337187213855339,1676507119.9485717,2023-02-15 16:25:19.948580
0,1,1,23.5649609375,20436,16.948046473825414,1012.2450825568897,8.369986151067563,1676507121.1510022,2023-02-15 16:25:21.151011
0,1,1,23.56203125,20716,16.93832523189313,1012.2519637453797,8.31264966203552,1676507122.350718,2023-02-15 16:25:22.350726
0,1,1,23.5594921875,21046,16.942981272523113,1012.2510443469387,8.320310395791093,1676507123.5437133,2023-02-15 16:25:23.543722
0,1,1,23.5563671875,21257,16.933250650062526,1012.2559017254165,8.27983716569004,1676507124.7369044,2023-02-15 16:25:24.736913
0,1,1,23.5536328125,21604,16.93311109834646,1012.2563436661986,8.276154781633874,1676507125.9300396,2023-02-15 16:25:25.930048
0,1,1,23.5512890625,21827,16.92820632672825,1012.2523702397789,8.309262617228498,1676507127.123216,2023-02-15 16:25:27.123225
0,1,1,23.54796875,22123,16.92325200728685,1012.2450487125051,8.370268155195848,1676507128.316419,2023-02-15 16:25:28.316428
0,1,1,23.5442578125,22404,16.918278060828005,1012.2506050158784,8.323971050369307,1676507129.5160239,2023-02-15 16:25:29.516031
0,1,1,23.5407421875,22790,16.91809879678832,1012.2463373438983,8.359530799703586,1676507130.70902,2023-02-15 16:25:30.709028
0,1,1,23.5391796875,23038,16.922803728676836,1012.2470733625725,8.35339802365257,1676507131.9018874,2023-02-15 16:25:31.901895
0,1,1,23.53625,23317,16.927439076473497,1012.2522614480512,8.310169105518598,1676507133.101499,2023-02-15 16:25:33.101507
0,0,0,23.533125,23472,16.927279662970566,1012.2554258462128,8.283802336377411,1676507134.3009276,2023-02-15 16:25:34.300935
0,0,0,23.5294140625,23746,16.92709036619393,1012.247441986303,8.350326517628426,1676507135.4936132,2023-02-15 16:25:35.493622
0,0,0,23.526875,24110,16.936530739226562,1012.2532921201599,8.301581211281698,1676507136.6865776,2023-02-15 16:25:36.686586
