PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
0,0,0,22.4962109375,17297,18.353792429254362,1012.2805928091459,8.074105595054759,1676508883.3289387,2023-02-15 16:54:43.328946
0,0,0,22.5149609375,4623,18.34031288423898,1012.2870706160617,8.020131747943287,1676508884.5222948,2023-02-15 16:54:44.522300
0,0,0,22.5536328125,8317,18.318251344776883,1012.2918720134109,7.98012612245603,1676508885.7156026,2023-02-15 16:54:45.715609
0,0,0,22.59484375,11644,18.277002871918313,1012.3043566599466,7.876103771371038,1676508886.9088802,2023-02-15 16:54:46.908886
0,0,0,22.6317578125,14472,18.216212398340097,1012.309542906071,7.832892159331498,1676508888.1009297,2023-02-15 16:54:48.100938
0,0,0,22.66515625,17102,18.16973573261023,1012.3188987282188,7.754940246506212,1676508889.3003721,2023-02-15 16:54:49.300381
0,0,0,22.6930859375,19230,18.113325725744527,1012.3240407347724,7.71209773450696,1676508890.4949982,2023-02-15 16:54:50.495007
0,0,0,22.7175,21172,18.06639441754065,1012.3198329513185,7.747156411285392,1676508891.69644,2023-02-15 16:54:51.696448
0,0,0,22.738203125,22963,18.028922387419893,1012.3228482789074,7.722033101852629,1676508892.8974025,2023-02-15 16:54:52.897412
0,0,0,22.756171875,24515,17.972030922752772,1012.3161504628056,7.777838499206543,1676508894.0904589,2023-02-15 16:54:54.090467
0,0,0,22.7727734375,26004,17.92954455702662,1012.3122024107026,7.810733334045318,1676508895.2908773,2023-02-15 16:54:55.290965
0,0,0,22.7852734375,27223,17.896486306825953,1012.3131269961356,7.80302975742206,1676508896.4906588,2023-02-15 16:54:56.490666
0,0,0,22.79796875,28447,17.853814516316977,1012.3177634744557,7.764399053014238,1676508897.6833913,2023-02-15 16:54:57.683401
0,0,0,22.8079296875,29476,17.8350830774141,1012.3160690651274,7.778516696703784,1676508898.8775568,2023-02-15 16:54:58.877566
0,0,0,22.8176953125,30516,17.80190166466196,1012.3140427545759,7.795399732258735,1676508900.0773056,2023-02-15 16:55:00.077314
0,0,0,22.824921875,31328,17.758969576902974,1012.3110890198801,7.8200100305979126,1676508901.271787,2023-02-15 16:55:01.271797
0,0,0,22.8321484375,32111,17.740105716279647,1012.3132069658325,7.8023634561612445,1676508902.4663715,2023-02-15 16:55:02.466380
0,0,0,22.839765625,32756,17.706834313515166,1012.3142968424057,7.793282694026722,1676508903.6677568,2023-02-15 16:55:03.667766
0,0,0,22.845625,33720,17.68790539604373,1012.3140946221422,7.794967576061107,1676508904.860486,2023-02-15 16:55:04.860495
0,0,0,22.8532421875,34293,17.664263378359063,1012.3236376481339,7.71545619219038,1676508906.0600476,2023-02-15 16:55:06.060055
0,0,0,22.8591015625,34714,17.645340345512693,1012.3183629634135,7.759404177459782,1676508907.2529366,2023-02-15 16:55:07.252946
0,0,0,22.864375,35322,17.62158236604803,1012.3188568413884,7.755289242703799,1676508908.4461257,2023-02-15 16:55:08.446135
0,0,0,22.8708203125,35860,17.597890301360806,1012.3230296960134,7.720521560527044,1676508909.6458726,2023-02-15 16:55:09.645881
0,0,0,22.87453125,36352,17.58366887538627,1012.3225630156343,7.724409875005662,1676508910.838953,2023-02-15 16:55:10.838963
0,0,0,22.8798046875,36986,17.569530955430324,1012.3230565755621,7.720297603997038,1676508912.0319288,2023-02-15 16:55:12.031940
0,0,0,22.8837109375,37312,17.55051877596921,1012.322921124375,7.721426163832273,1676508913.23211,2023-02-15 16:55:13.232118
0,0,0,22.887421875,37777,17.536302410269936,1012.317381808695,7.767579051082184,1676508914.4281657,2023-02-15 16:55:14.428174
0,0,0,22.892109375,38083,17.512533505621484,1012.3134992618963,7.799928068577266,1676508915.6255705,2023-02-15 16:55:15.625576
0,0,0,22.8973828125,38780,17.49360119619602,1012.3106106886137,7.823995456694152,1676508916.8200486,2023-02-15 16:55:16.820055
0,0,0,22.9024609375,38886,17.479462386750257,1012.3073905715975,7.850825309277971,1676508918.014297,2023-02-15 16:55:18.014310
0,0,0,22.9071484375,39283,17.465304610783935,1012.305198403525,7.869090382636933,1676508919.2114985,2023-02-15 16:55:19.211505
0,0,0,22.91125,39539,17.46071819194425,1012.3087754609008,7.839286472974334,1676508920.4047687,2023-02-15 16:55:20.404785
0,0,0,22.9165234375,40025,17.4465928226247,1012.3177224659187,7.76474073169013,1676508921.6030636,2023-02-15 16:55:21.603081
0,0,0,22.9204296875,40329,17.43719705809933,1012.3142045551554,7.794051623513072,1676508922.7955272,2023-02-15 16:55:22.795534
0,0,0,22.9247265625,40717,17.432621564822107,1012.3147310669118,7.789664773292497,1676508923.994991,2023-02-15 16:55:23.995003
0,0,0,22.9278515625,40834,17.43758399781182,1012.3183420353207,7.759578547968072,1676508925.189997,2023-02-15 16:55:25.190010
0,0,0,22.93078125,41192,17.42813777587799,1012.3114761309312,7.816784646730818,1676508926.3830616,2023-02-15 16:55:26.383074
0,0,0,22.9344921875,41312,17.428331167988475,1012.314390198129,7.792504862173798,1676508927.5827365,2023-02-15 16:55:27.582748
0,0,0,22.938203125,41678,17.4285245676604,1012.3122314311698,7.810491537597512,1676508928.7810059,2023-02-15 16:55:28.781012
0,0,0,22.9423046875,41966,17.404743673755608,1012.3090443512427,7.837046092043936,1676508929.9777462,2023-02-15 16:55:29.977752
0,0,0,22.94640625,42302,17.404957186592654,1012.3075481124806,7.849512684974725,1676508931.171673,2023-02-15 16:55:31.171681
0,0,0,22.9501171875,42344,17.400351941003898,1012.3206077655342,7.740700756250983,1676508932.371104,2023-02-15 16:55:32.371114
