Time,Count
1679526422.2568743,9
1679526432.2671745,5
1679526442.2774274,208
1679526452.287674,83
1679526462.2979276,21
1679526472.3082104,157
1679526482.3087468,30
1679526492.3191006,21
1679526502.3293514,27
1679526512.3396049,4
1679526522.349854,13
1679526532.360085,10
1679526542.3703306,11
