Time,Count
1679527904.0444486,14
1679527914.0547423,27
1679527924.0649464,14
1679527934.075236,19
1679527944.0855732,3
1679527954.0958245,9
1679527964.1060822,4
1679527974.116333,7
1679527984.1265814,5
1679527994.1368296,8
1679528004.147087,7
1679528014.1573315,13
1679528024.1675806,5
