Time,Count
1679527374.5974514,2
1679527384.6077185,8
1679527394.6179879,24
1679527404.6286597,4
1679527414.6389077,19
1679527424.6491873,213
1679527434.6594884,437
1679527444.6697283,58
1679527454.6799226,2
1679527464.6901639,19
1679527474.7004228,14
1679527484.7107673,14
1679527494.7210166,8
