Epoch time,Latitude,Longitude,Radiation (cps)
1682559971.1896899,37.875023,-122.254515,20.4
1682559976.533351,37.875025,-122.254516,18.6
1682559981.8373678,37.875031,-122.254516,15.6
1682559987.2544675,37.875033,-122.254515,18.4
1682559992.666605,37.875033,-122.254513,19.4
1682559998.009599,37.875035,-122.254511,17.8
1682560003.3645186,37.87504,-122.254508,22.6
1682560008.6783533,37.875043,-122.254511,19.2
1682560014.028264,37.875043,-122.254508,18.8
1682560019.3463073,37.875053,-122.254508,19.6
1682560024.6876943,37.875056,-122.254503,23.4
1682560030.0496552,37.875056,-122.2545,18.2
1682560035.3771362,37.875055,-122.254498,21.4
1682560040.7263982,37.875053,-122.254501,20.2
1682560046.1369088,37.875051,-122.2545,18.8
1682560051.493683,37.875048,-122.254491,20.0
1682560056.872028,37.87505,-122.254486,18.2
1682560062.3044927,37.875055,-122.254486,20.0
1682560067.6765118,37.875055,-122.254485,19.6
1682560073.1010253,37.875048,-122.25449,19.6
1682560078.5247447,37.875045,-122.25449,19.4
1682560084.0109012,37.875043,-122.254486,17.4
1682560089.4676557,37.87504,-122.254483,18.2
1682560094.891025,37.875045,-122.254483,18.8
1682560100.3206158,37.875055,-122.254488,20.2
1682560105.6965935,37.875056,-122.25449,17.2
1682560111.1820552,37.875063,-122.254491,15.8
1682560116.5689514,37.875066,-122.254495,17.8
1682560122.0010872,37.875071,-122.254496,18.8
1682560127.412987,37.875075,-122.254495,20.4
1682560132.8075802,37.875075,-122.254491,22.6
1682560138.237591,37.875078,-122.254488,20.2
1682560143.63563,37.875081,-122.254488,21.4
1682560149.084466,37.875085,-122.254488,21.0
1682560154.5971916,37.875085,-122.254486,18.8
1682560160.036751,37.875081,-122.254483,16.6
1682560165.4585774,37.875085,-122.254479,18.2
1682560170.896831,37.87509,-122.254478,20.0
1682560176.3773897,37.875095,-122.254478,19.0
1682560181.7967718,37.8751,-122.254476,17.8
1682560187.2606432,37.875103,-122.254471,17.2
1682560192.7025154,37.87511,-122.254468,19.2
1682560198.1522672,37.875118,-122.254465,18.6
1682560203.5691366,37.875121,-122.254461,19.0
1682560209.0872464,37.875125,-122.254458,19.6
1682560214.5276082,37.875123,-122.254455,14.2
1682560220.0284963,37.87512,-122.254451,21.2
1682560225.5297668,37.875121,-122.254448,16.6
1682560231.0320554,37.875116,-122.25445,22.0
1682560236.4911754,37.875101,-122.254443,24.8
1682560242.118182,37.875095,-122.25443,18.8
1682560247.5726955,37.875095,-122.254431,21.2
1682560253.108507,37.875093,-122.254431,17.0
1682560258.5548656,37.875093,-122.25443,18.8
1682560264.0981643,37.875091,-122.254423,17.2
1682560269.578225,37.875088,-122.254421,20.6
1682560275.1261368,37.875078,-122.254438,15.2
1682560280.6000898,37.875081,-122.254458,21.4
1682560286.1636176,37.875086,-122.254473,20.0
1682560291.6489651,37.875078,-122.254481,20.4
1682560297.2141552,37.875069,-122.254491,22.2
1682560302.6983876,37.875068,-122.25449,19.8
1682560308.2523015,37.875068,-122.254485,16.2
1682560313.759242,37.875066,-122.254481,18.0
1682560319.2993217,37.875069,-122.254481,21.2
1682560324.7986794,37.875071,-122.254485,21.6
1682560330.337902,37.875071,-122.254483,18.2
1682560335.8830264,37.875071,-122.254485,17.2
1682560341.454056,37.875066,-122.254485,19.4
1682560347.053268,37.875063,-122.254479,16.4
1682560352.585916,37.87506,-122.254481,21.6
1682560358.2070675,37.875058,-122.254483,17.6
1682560363.7271066,37.875058,-122.254485,16.4
1682560369.3209536,37.875056,-122.254488,19.6
1682560374.890669,37.875053,-122.254491,20.2
1682560380.4746208,37.875048,-122.254493,20.2
1682560386.059462,37.875045,-122.254498,23.0
1682560391.579865,37.875041,-122.254496,19.0
1682560397.2175028,37.87503,-122.254498,16.8
1682560402.8073726,37.875025,-122.254498,20.0
1682560408.4032497,37.875019,-122.254493,15.0
1682560414.0442138,37.875018,-122.254488,19.6
1682560419.6997902,37.875018,-122.254486,21.4
1682560425.3736017,37.875019,-122.254488,17.4
1682560430.9916234,37.875021,-122.254483,17.6
1682560436.5732775,37.875019,-122.254479,18.0
1682560442.267931,37.875015,-122.254483,18.0
1682560447.9093735,37.875013,-122.254483,16.8
1682560453.5244665,37.875008,-122.254483,19.8
1682560459.2081993,37.875001,-122.254483,19.2
1682560464.8051496,37.874998,-122.254481,21.8
1682560470.4722557,37.874995,-122.254483,14.8
1682560476.1628952,37.874991,-122.254485,16.8
1682560481.8655741,37.874988,-122.254481,16.6
1682560487.5292928,37.874985,-122.25449,19.2
1682560493.2360322,37.874988,-122.254496,19.0
1682560498.8571138,37.87499,-122.2545,18.2
1682560504.5103028,37.874991,-122.254503,19.0
1682560510.2016172,37.874995,-122.254508,21.0
1682560515.8652904,37.875,-122.254513,19.4
1682560521.552154,37.875005,-122.254515,17.6
1682560527.2622507,37.875008,-122.254515,18.8
1682560532.9507396,37.875011,-122.254526,17.6
1682560538.597209,37.875016,-122.254525,14.0
1682560544.292547,37.875018,-122.254523,14.8
1682560549.9956326,37.875018,-122.25452,21.8
1682560555.670884,37.875021,-122.254523,18.6
1682560561.3934376,37.875025,-122.254525,18.2
1682560567.0738041,37.875025,-122.254525,18.8
1682560572.8347104,37.875019,-122.254515,21.0
1682560578.5330937,37.875016,-122.254506,21.4
1682560584.2559483,37.875011,-122.254496,21.0
1682560589.9607275,37.875008,-122.254493,18.0
1682560595.6500144,37.875008,-122.254493,18.0
