Time,Count
1679524470.884684,2
1679524480.8949296,2
1679524490.9051907,0
1679524500.9154403,8
1679524510.9247441,13
1679524520.9350004,12
1679524530.9452543,6
1679524540.9555295,7
1679524550.9658341,6
1679524560.976101,0
1679524570.9863548,6
1679524580.9966726,4
1679524591.006933,2
