Time,Count
1679528620.1132927,11
1679528630.1235437,0
1679528640.133849,16
1679528650.1441991,5
1679528660.1544545,16
1679528670.1647332,12
1679528680.1749887,10
1679528690.1852472,17
1679528700.195613,16
1679528710.2059426,10
1679528720.2162747,13
1679528730.2265334,4
1679528740.2368042,4
