PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
3,5,5,21.6903515625,38994,36.36785946879326,996.7829041645098,138.01082858711368,1677110923.6063666,2023-02-22 16:08:43.606376
3,5,5,21.7657421875,39687,36.66817525883907,996.7724727739093,138.09883732759675,1677110924.7993026,2023-02-22 16:08:44.799312
3,5,5,21.8440625,40063,36.67581847786068,996.7821019619547,138.017596674233,1677110925.9922805,2023-02-22 16:08:45.992289
3,5,5,21.92453125,39987,36.5785349841806,996.7851780763115,137.9916438888671,1677110927.1918292,2023-02-22 16:08:47.191838
3,5,5,22.00421875,40795,36.43699145501954,996.7886066052198,137.9627179032024,1677110928.3864527,2023-02-22 16:08:48.386460
3,5,5,22.0971875,39283,36.19745199691699,996.8024178671118,137.84619516796803,1677110929.5804307,2023-02-22 16:08:49.580439
3,5,5,22.2165234375,38958,36.41895521017372,996.784347787488,137.99864892362106,1677110930.780758,2023-02-22 16:08:50.780800
2,4,4,22.3141796875,38958,36.882588926719244,996.7805925006714,138.03033183070585,1677110931.981672,2023-02-22 16:08:51.981680
2,4,4,22.4165234375,39319,37.25924195293999,996.7761919134692,138.06745918318438,1677110933.1757498,2023-02-22 16:08:53.175758
2,4,4,22.5055859375,39874,37.50743768473311,996.7782412285619,138.0501692823259,1677110934.369322,2023-02-22 16:08:54.369330
2,5,5,22.591328125,40138,37.39905942836312,996.7713250547521,138.1085205804195,1677110935.5702758,2023-02-22 16:08:55.570284
2,5,5,22.6973828125,39613,37.137037037426495,996.7577974005812,138.2226534459702,1677110936.7653005,2023-02-22 16:08:56.765310
2,5,5,22.79171875,38922,37.30773243004264,996.7617938163334,138.18893554176282,1677110937.958945,2023-02-22 16:08:57.958954
2,5,6,22.8926953125,38151,37.77496870977198,996.758265776459,138.218701736092,1677110939.1600604,2023-02-22 16:08:59.160069
2,5,6,22.9860546875,38673,38.59061838893949,996.7537893318945,138.25646977634972,1677110940.3679678,2023-02-22 16:09:00.367976
2,5,6,23.07453125,40522,38.95943507388183,996.739421363025,138.37769414813602,1677110941.5661833,2023-02-22 16:09:01.566193
3,5,6,23.135078125,42302,38.72951880278228,996.7290518640326,138.4651838025846,1677110942.7673252,2023-02-22 16:09:02.767333
3,5,6,23.1872265625,42901,37.75445825327245,996.7164631779888,138.57139819764078,1677110943.9614143,2023-02-22 16:09:03.961422
3,5,6,23.2471875,43251,36.64737376848389,996.7101528940952,138.62464030163358,1677110945.1615608,2023-02-22 16:09:05.161569
3,5,6,23.254609375,45188,35.586995100594386,996.7056475506139,138.66265365000262,1677110946.3609178,2023-02-22 16:09:06.360925
3,5,6,23.269453125,45092,34.4034514953245,996.7186168404332,138.55322704598674,1677110947.560152,2023-02-22 16:09:07.560160
3,5,6,23.307734375,44570,33.49720002753361,996.7267870021532,138.4842930189746,1677110948.759643,2023-02-22 16:09:08.759651
3,7,8,23.33625,45675,32.606292661092155,996.7406170079668,138.36760628646854,1677110949.9590096,2023-02-22 16:09:09.959017
4,7,9,23.35109375,46629,31.885957817721778,996.726526420358,138.4864916161893,1677110951.1586635,2023-02-22 16:09:11.158671
4,9,10,23.3315625,47043,30.973899006992916,996.7378572900157,138.39089051546418,1677110952.359084,2023-02-22 16:09:12.359092
4,9,10,23.3067578125,47466,29.940032445755456,996.7150094811689,138.5836635292592,1677110953.5594575,2023-02-22 16:09:13.559465
5,10,11,23.288984375,47466,29.65800296501504,996.7360371039401,138.4062477762395,1677110954.7588103,2023-02-22 16:09:14.758818
5,11,12,23.250703125,47413,29.0533537734844,996.7549162733278,138.24696168868965,1677110955.9582264,2023-02-22 16:09:15.958235
5,10,12,23.2301953125,47096,28.67841183765658,996.7882743522267,137.96552106849106,1677110957.150886,2023-02-22 16:09:17.150894
5,11,11,23.183515625,48527,28.417659500515867,996.815080267831,137.73936628342557,1677110958.35031,2023-02-22 16:09:18.350318
6,12,12,23.163984375,48032,28.143909400209882,996.8483687343443,137.4585266971456,1677110959.5450673,2023-02-22 16:09:19.545076
6,12,12,23.1024609375,49175,27.830906033537904,996.8554125124687,137.3991025320026,1677110960.7454717,2023-02-22 16:09:20.745479
6,11,11,23.003828125,49724,27.463785255254646,996.8578677414741,137.37838930559647,1677110961.945253,2023-02-22 16:09:21.945262
5,10,10,22.864375,50136,27.042819225090643,996.868070755273,137.29231332331048,1677110963.1392932,2023-02-22 16:09:23.139302
5,9,9,22.7794140625,49782,26.642999754796723,996.869628328089,137.2791731891865,1677110964.3388374,2023-02-22 16:09:24.338845
5,9,9,22.7012890625,49958,26.38933502829331,996.8623133938759,137.34088423114983,1677110965.5381572,2023-02-22 16:09:25.538165
5,9,9,22.6403515625,49232,26.230178713586184,996.8330425359928,137.58782588859125,1677110966.7375426,2023-02-22 16:09:26.737551
4,9,10,22.6079296875,49033,26.274128414805368,996.8210485215603,137.68901429423497,1677110967.9370704,2023-02-22 16:09:27.937078
4,9,10,22.5774609375,48583,26.395555048771353,996.808939558558,137.79117347219616,1677110969.1379633,2023-02-22 16:09:29.137972
4,9,10,22.55734375,48168,26.646938779602078,996.7837388954249,138.00378606678714,1677110970.3320065,2023-02-22 16:09:30.332015
4,10,10,22.5565625,46939,27.107431511099783,996.792566276107,137.92931085233784,1677110971.525042,2023-02-22 16:09:31.525052
4,10,10,22.570234375,46629,27.78927290523961,996.7816518675648,138.02139406876097,1677110972.7194667,2023-02-22 16:09:32.719475
4,10,10,22.589375,47466,28.433143976801396,996.7917058510549,137.93657009890345,1677110973.9200194,2023-02-22 16:09:33.920028
4,9,9,22.6098828125,48948,28.95929108028066,996.8293824675565,137.61870422696236,1677110975.1146078,2023-02-22 16:09:35.114616
4,9,9,22.6145703125,50464,28.886116316565406,996.8659378204719,137.31030740428398,1677110976.3100286,2023-02-22 16:09:36.310037
4,9,9,22.597578125,51855,28.4442668985088,996.9185957133225,136.86607866127787,1677110977.5157318,2023-02-22 16:09:37.515740
4,8,9,22.55890625,52628,27.89784127424778,996.8944488903525,137.069782000584,1677110978.7113612,2023-02-22 16:09:38.711370
