Epoch time,Latitude,Longitude,Radiation (cps)
1682552538.0596945,0,0,7764.6
1682552543.3337436,0,0,7764.6
1682552548.597134,0,0,7764.6
1682552553.9030526,0,0,7764.6
1682552559.2093287,0,0,7764.6
1682552564.5248036,37.873601,-122.260266,7764.6
1682552569.9389365,37.873614,-122.26026,7764.6
1682552575.3333504,37.873611,-122.260223,7764.6
1682552580.704263,37.873626,-122.260203,7764.6
1682552586.0744815,37.873631,-122.260206,7764.6
1682552591.4017978,37.873656,-122.260226,7764.6
1682552596.728499,37.873655,-122.260211,7764.6
1682552602.0983467,37.873641,-122.260181,7764.6
1682552607.4151037,37.873648,-122.260176,7764.6
1682552612.8162768,37.873641,-122.260125,7764.6
1682552618.2755053,37.873583,-122.260026,7764.6
1682552623.6327288,37.873583,-122.260026,7764.6
1682552629.038127,37.87358,-122.260028,7764.6
1682552634.4060197,37.873575,-122.260026,7764.6
1682552639.785901,37.873568,-122.260025,7764.6
1682552645.1805024,37.873568,-122.260023,7764.6
1682552650.5527723,37.873568,-122.260018,7764.6
1682552655.967207,37.873566,-122.260015,7764.6
1682552661.3582733,37.873568,-122.260025,7764.6
1682552666.7344263,37.873588,-122.260046,7764.6
1682552672.1555438,37.873599,-122.260058,7764.6
1682552677.5164871,37.873593,-122.26005,7764.6
1682552682.9295855,37.873585,-122.260053,7764.6
1682552688.3588557,37.873578,-122.260046,7764.6
1682552693.8174884,37.873591,-122.260021,7764.6
1682552699.2555265,37.873601,-122.260021,7764.6
1682552704.6508825,37.873614,-122.260025,7764.6
1682552710.1020167,37.873633,-122.260025,7764.6
1682552715.4881341,37.873636,-122.260035,7764.6
1682552720.9223616,37.873645,-122.260048,7764.6
1682552726.3986106,37.873649,-122.260058,7764.6
1682552731.850381,37.873656,-122.260058,7764.6
1682552737.330271,37.873663,-122.260061,7764.6
1682552742.756658,37.873653,-122.260046,7764.6
1682552748.2121751,37.873648,-122.260046,7764.6
1682552753.9594579,37.873651,-122.26005,7764.6
1682552759.3956032,37.873656,-122.260056,7764.6
1682552764.822738,37.87366,-122.260058,7764.6
1682552770.272056,37.873661,-122.260058,7764.6
1682552775.698628,37.873665,-122.26006,7764.6
1682552781.1891387,37.873666,-122.260063,7764.6
1682552786.6464543,37.873671,-122.26007,7764.6
1682552792.1530354,37.873678,-122.26008,7764.6
1682552797.6023846,37.873683,-122.260098,7764.6
1682552803.1057856,37.873673,-122.26011,7764.6
1682552808.623963,37.873676,-122.260118,7764.6
1682552814.1624486,37.873683,-122.260126,7764.6
1682552819.6369784,37.873683,-122.260131,7764.6
1682552825.2152505,37.873683,-122.260133,7764.6
1682552830.704889,37.873685,-122.260135,7764.6
1682552836.2339993,37.873686,-122.260141,7764.6
1682552841.7388678,37.873685,-122.260143,7764.6
1682552847.26797,37.873678,-122.260143,7764.6
1682552852.7725134,37.873668,-122.260141,7764.6
1682552858.3175657,37.873663,-122.260145,7764.6
1682552863.841497,37.873663,-122.26015,7764.6
1682552869.4164038,37.873658,-122.260154,7764.6
1682552874.9313934,37.873651,-122.260153,7764.6
1682552880.5113783,37.873648,-122.260154,7764.6
1682552886.0362096,37.873648,-122.26016,7764.6
1682552891.5719557,37.873648,-122.260156,7764.6
1682552897.126918,37.873649,-122.260158,7764.6
1682552902.6845856,37.873648,-122.260158,7764.6
1682552908.2846608,37.873649,-122.260151,7764.6
1682552913.8248773,37.873648,-122.260148,7764.6
1682552919.430241,37.87366,-122.260145,7764.6
1682552924.9728098,37.873661,-122.260141,7764.6
1682552930.5291584,37.873661,-122.260135,7764.6
1682552936.1407943,37.873658,-122.260129,7764.6
1682552941.7286284,37.873655,-122.260123,7764.6
1682552947.330656,37.873651,-122.260121,7764.6
1682552952.8941252,37.873646,-122.26012,7764.6
1682552958.4960425,37.873646,-122.260114,7764.6
1682552964.1295104,37.873643,-122.260111,7764.6
1682552969.7515674,37.87364,-122.260098,7764.6
1682552975.3383315,37.87364,-122.260093,7764.6
1682552980.933926,37.87364,-122.260091,7764.6
1682552986.538156,37.873636,-122.260095,7764.6
1682552992.1890802,37.873635,-122.260095,7764.6
1682552997.8257425,37.873628,-122.260095,7764.6
1682553003.4642327,37.87362,-122.260091,7764.6
1682553009.1159155,37.873618,-122.26009,7764.6
1682553014.7727716,37.873608,-122.260088,7764.6
1682553020.4030752,37.873603,-122.260083,7764.6
1682553026.054515,37.873598,-122.260075,7764.6
1682553031.6373663,37.873596,-122.260075,7764.6
1682553037.2908518,37.873593,-122.260066,7764.6
1682553042.9138412,37.873591,-122.26006,7764.6
1682553048.5633304,37.87359,-122.260056,7764.6
1682553054.2540116,37.873603,-122.260083,7764.6
1682553059.931738,37.873631,-122.260125,7764.6
1682553065.6589193,37.87363,-122.260118,7764.6
1682553071.308406,37.873648,-122.260125,7764.6
1682553076.9556704,37.873653,-122.260133,7764.6
1682553082.6003444,37.873661,-122.260139,7764.6
1682553088.3035755,37.873666,-122.260136,7764.6
1682553093.9439387,37.873668,-122.260136,7764.6
1682553099.5789342,37.87367,-122.260138,7764.6
1682553105.3513076,37.873678,-122.260146,7764.6
1682553111.0543776,37.873683,-122.260153,7764.6
1682553116.7649148,37.873688,-122.260154,7764.6
1682553122.490564,37.873588,-122.260098,7764.6
1682553128.1756725,37.87359,-122.260026,7764.6
1682553133.8177083,37.873548,-122.259971,7764.6
1682553139.5600095,37.873506,-122.25993,7764.6
1682553145.2980094,37.873453,-122.259871,7764.6
1682553150.9727347,37.873441,-122.259824,7764.6
1682553156.6722322,37.873453,-122.259785,7764.6
1682553162.4534988,37.873468,-122.25974,7764.6
1682553168.1726341,37.873478,-122.259696,7764.6
1682553173.8614345,37.873503,-122.259651,7764.6
1682553179.5656738,37.873526,-122.259608,7764.6
1682553185.3267562,37.873535,-122.259511,7764.6
1682553191.1814065,37.873526,-122.259448,7764.6
1682553196.880543,37.873526,-122.259393,7764.6
1682553202.608201,37.873546,-122.259346,7764.6
1682553208.403587,37.873573,-122.259305,7764.6
1682553214.1785817,37.873581,-122.259268,7764.6
1682553219.8991613,37.87357,-122.259226,7764.6
1682553225.678862,37.873558,-122.259146,7764.6
1682553231.4588819,37.873551,-122.259098,7764.6
1682553237.3576894,37.873553,-122.259065,7764.6
1682553243.1559722,37.873561,-122.259013,7764.6
1682553248.8725035,37.873585,-122.258983,7764.6
1682553254.6881716,37.873601,-122.258925,7764.6
1682553260.5552337,37.873606,-122.258831,7764.6
1682553266.3372533,37.87362,-122.258773,7764.6
1682553272.1269426,37.873636,-122.258724,7764.6
